Entrez_Gene_ID	Gene_Name
55196	KIAA1551
64222	TOR3A
54149	C21orf91
4818	NKG7
8202	NCOA3
5790	PTPRCAP
51307	FAM53C
5962	RDX
55361	PI4K2A
57461	ISY1
1521	CTSW
3458	IFNG
140947	DCANP1
3665	IRF7
83700	JAM3
6932	TCF7
2769	GNA15
4321	MMP12
5611	DNAJC3
8038	ADAM12
27040	LAT
9948	WDR1
6482	ST3GAL1
27338	UBE2S
4085	MAD2L1
23646	PLD3
26762	HAVCR1
64859	NABP1
1806	DPYD
8477	GPR65
6643	SNX2
26135	SERBP1
81671	VMP1
820	CAMP
4603	MYBL1
6688	SPI1
1736	DKC1
2706	GJB2
9467	SH3BP5
54941	RNF125
10963	STIP1
113115	MTFR2
58475	MS4A7
1984	EIF5A
919	CD247
1831	TSC22D3
11025	LILRB3
25777	SUN2
64946	CENPH
10261	IGSF6
8807	IL18RAP
5927	KDM5A
112597	LNC00152
5588	PRKCQ
3071	NCKAP1L
112744	IL17F
3597	IL13RA1
25816	TNFAIP8
80709	AKNA
23166	STAB1
64581	CLEC7A
54210	TREM1
23603	CORO1C
891	CCNB1
4940	OAS3
160365	CLECL1
23636	NUP62
6280	S100A9
51561	IL23A
2177	FANCD2
1130	LYST
80183	C13orf18
53829	P2RY13
3161	HMMR
1847	DUSP5
85365	ALG2
10538	BATF
94039	ZNF101
6890	TAP1
6671	SP4
1437	CSF2
50619	DEF6
171023	ASXL1
926	CD8B
9991	ROD1
115650	TNFRSF13C
117579	RLN3
84433	CARD11
25923	ATL3
8942	KYNU
2069	EREG
4012	LNPEP
79415	C17orf62
10797	MTHFD2
10212	DDX39
3559	IL2RA
6346	CCL1
2957	GTF2A1
2634	GBP2
3635	INPP5D
92610	TIFA
51154	MRTO4
3579	CXCR2
10659	CELF2
7298	TYMS
4033	LRMP
10600	USP16
126308	MOBKL2A
3428	IFI16
84705	GTPBP3
921	CD5
29896	TRA2A
915	CD3D
1514	CTSL
7153	TOP2A
221756	SERPINB9P1
1786	DNMT1
53831	GPR84
708	C1QBP
54674	LRRN3
81831	NETO2
5336	PLCG2
158067	AK8
1846	DUSP4
4154	MBNL1
9242	MSC
129531	MITD1
5293	PIK3CD
79887	PLBD1
79056	PRRG4
79966	SCD5
11237	RNF24
5899	RALB
84957	RELT
170384	FUT11
56990	CDC42SE2
1545	CYP1B1
874	CBR3
51602	NOP58
1436	CSF1R
5777	PTPN6
3423	IDS
9695	EDEM1
